"n","tiempo (ns)"
1,310
2,352
3,368
4,443
5,437
6,525
7,535
8,589
9,604
10,638
11,689
12,733
13,748
14,822
15,856
16,857
17,1410
18,1481
19,1577
20,1577
21,1623
22,1691
23,1714
24,1779
25,1788
26,1890
27,1949
28,2004
29,2016
30,2077
31,2165
32,2244
33,2295
34,2324
35,4057
36,4858
37,4880
38,4955
39,5384
40,5331
41,5412
42,5424
43,5508
44,5728
45,5840
46,5865
47,6064
48,5974
49,6024
50,6426
51,6446
52,6524
53,6485
54,6580
55,6654
56,6801
57,6802
58,6983
59,7191
60,7102
61,7345
62,7399
63,7564
64,7822
65,7493
66,7703
67,7899
68,7821
69,8025
70,8043
71,8705
72,9303
73,10143
74,10828
75,11044
76,11213
77,11364
78,11247
79,11382
80,11602
81,11475
82,11696
83,12004
84,11979
85,11956
86,12166
87,16154
88,16387
89,18363
90,19616
91,19013
92,18336
93,18107
94,13248
95,13413
96,13307
97,13449
98,13353
99,13845
100,14510
101,14408
102,13998
103,14409
104,14151
105,9770
106,9564
107,9797
108,9669
109,9805
110,9950
111,10296
112,10237
113,10240
114,10196
115,10347
116,10366
117,10405
118,10594
119,10792
120,10822
121,10764
122,10734
123,11091
124,11169
125,11278
126,11325
127,11526
128,11880
129,11565
130,11787
131,11582
132,11759
133,11629
134,11797
135,11531
136,11866
137,12060
138,11891
139,12118
140,12110
141,12268
142,12247
143,12852
144,13333
145,13693
146,14334
147,14875
148,15392
149,15726
150,16175
151,16336
152,16547
153,16410
154,16624
155,16730
156,16910
157,16808
158,16932
159,17008
160,17224
161,24618
162,25004
163,22100
164,18901
165,17417
166,17556
167,19128
168,19283
169,19242
170,19238
171,18444
172,18165
173,18047
174,18404
175,18510
176,18585
177,18452
178,18683
179,18751
180,18500
181,18706
182,18811
183,19159
184,19319
185,19283
186,19440
187,19589
188,19565
189,19492
190,19669
191,19640
192,19802
193,19855
194,20104
195,19867
196,19980
197,20322
198,20012
199,20488
200,20461
201,20663
202,20601
203,20755
204,20832
205,20835
206,21024
207,20911
208,21346
209,21120
210,21419
211,21462
212,21374
213,21151
214,21683
215,21655
216,21858
217,21981
218,22100
219,22227
220,22345
221,22350
222,22223
223,22734
224,24734
225,22643
226,22573
227,22918
228,22644
229,22778
230,23024
231,22845
232,23032
233,23233
234,24166
235,23274
236,23733
237,23388
238,23427
239,23898
240,23392
241,23608
242,24273
243,23979
244,24007
245,24091
246,23771
247,24079
248,24311
249,24481
250,24591
251,24473
252,24607
253,24843
254,24891
255,24696
256,24883
257,25281
258,25405
259,25304
260,25464
261,25547
262,26009
263,25943
264,26003
265,25739
266,25714
267,25718
268,25896
269,25706
270,25813
271,25870
272,25590
273,25467
274,25575
275,26042
276,26104
277,26010
278,25074
279,26284
280,26456
281,26407
282,26467
283,26742
284,26529
285,26276
286,27163
287,27682
288,27738
289,28362
290,28480
291,29553
292,29951
293,30503
294,30234
295,30998
296,31687
297,32771
298,32731
299,32894
300,33348
301,33498
302,34544
303,35152
304,34878
305,34890
306,34992
307,35244
308,35508
309,35120
310,35698
311,35988
312,36016
313,36609
314,36635
315,36274
316,36132
317,36692
318,36171
319,39594
320,36941
321,36991
322,36326
323,36392
324,36771
325,36688
326,36882
327,37091
328,37314
329,36902
330,37434
331,37637
332,37606
333,37526
334,37939
335,37969
336,38083
337,37547
338,37965
339,39057
340,38551
341,38557
342,38823
343,39647
344,38873
345,39574
346,39049
347,39344
348,39083
349,39119
350,39338
351,38773
352,40100
353,39428
354,39351
355,39362
356,39943
357,39540
358,40229
359,39865
360,39381
361,40133
362,40016
363,41382
364,40035
365,40714
366,41192
367,41361
368,40163
369,40558
370,41083
371,40904
372,41519
373,41509
374,41852
375,41826
376,41435
377,42465
378,40301
379,42455
380,41808
381,42109
382,42616
383,41973
384,42286
385,43168
386,42634
387,42677
388,42345
389,42932
390,43015
391,42808
392,41971
393,41767
394,43502
395,43566
396,43755
397,43476
398,43899
399,42084
400,43584
401,44188
402,44298
403,44651
404,44476
405,44771
406,43985
407,44586
408,45069
409,44536
410,45106
411,44279
412,44592
413,44274
414,45756
415,46109
416,44756
417,45987
418,45118
419,46091
420,46008
421,46406
422,45980
423,46374
424,46336
425,46901
426,46361
427,46662
428,46560
429,46789
430,46823
431,46189
432,47415
433,47431
434,47071
435,47475
436,47839
437,47397
438,47643
439,47949
440,47608
441,47759
442,48387
443,48501
444,48645
445,47570
446,47346
447,48249
448,48163
449,49144
450,49376
451,49211
452,49511
453,49298
454,49014
455,49664
456,49221
457,49270
458,49654
459,48466
460,50226
461,49878
462,49716
463,49619
464,50706
465,50262
466,50126
467,50846
468,50837
469,50473
470,51021
471,51651
472,51329
473,51072
474,51395
475,50868
476,51568
477,51242
478,52752
479,52061
480,51821
481,51361
482,52320
483,52237
484,52774
485,51384
486,52402
487,51697
488,52137
489,52205
490,51878
491,52433
492,53399
493,52240
494,52739
495,52406
496,53029
497,52610
498,51934
499,53348
500,53657
501,53617
502,53936
503,53262
504,53712
505,54032
506,53547
507,54280
508,54204
509,54505
510,54072
511,53439
512,54348
513,55271
514,55432
515,54765
516,55152
517,55499
518,54748
519,55686
520,61002
521,60987
522,56728
523,55924
524,55130
525,55027
526,56458
527,55908
528,55127
529,56039
530,55969
531,57049
532,54862
533,56837
534,55354
535,56181
536,56020
537,55531
538,56246
539,56452
540,56811
541,55990
542,56188
543,55631
544,56673
545,57112
546,57393
547,56187
548,57037
549,57144
550,57634
551,57587
552,55623
553,58093
554,57356
555,55985
556,58252
557,58288
558,57199
559,58088
560,57083
561,56764
562,58727
563,61625
564,62409
565,58482
566,58584
567,57379
568,58968
569,58891
570,57890
571,60371
572,59403
573,58872
574,58543
575,61615
576,59499
577,60111
578,61160
579,61046
580,61300
581,63777
582,63047
583,64426
584,64483
585,64177
586,64745
587,66841
588,66680
589,65644
590,67367
591,68313
592,68287
593,67534
594,68018
595,68165
596,69106
597,70332
598,71606
599,71742
600,70574
601,71827
602,71429
603,71793
604,74416
605,73996
606,74195
607,74691
608,75941
609,75691
610,76576
611,75589
612,76147
613,77131
614,76065
615,74630
616,76970
617,77695
618,76809
619,77403
620,76948
621,76482
622,76922
623,77850
624,77469
625,78233
626,77496
627,78074
628,78481
629,78250
630,78526
631,78366
632,78693
633,79220
634,78517
635,77600
636,78305
637,79758
638,79409
639,78779
640,76760
641,80022
642,79407
643,79271
644,80734
645,79615
646,79113
647,79669
648,80853
649,79782
650,80880
651,79640
652,80850
653,78999
654,80150
655,78908
656,81886
657,80831
658,82015
659,80901
660,80217
661,81826
662,81763
663,81718
664,82503
665,81803
666,80472
667,80340
668,81728
669,83264
670,81623
671,81701
672,82797
673,82186
674,82674
675,83198
676,83107
677,83631
678,83161
679,82851
680,84486
681,83345
682,82702
683,83899
684,85020
685,83662
686,85174
687,84901
688,85583
689,85387
690,85570
691,84244
692,85426
693,84378
694,84695
695,86140
696,85869
697,84783
698,84770
699,84838
700,85712
701,87581
702,85491
703,85599
704,86868
705,85784
706,85339
707,86367
708,86060
709,86248
710,85788
711,85994
712,86202
713,86656
714,86320
715,86175
716,87230
717,86840
718,87653
719,86680
720,85243
721,87427
722,85813
723,87496
724,86712
725,86810
726,88692
727,87702
728,86728
729,88962
730,88226
731,88196
732,88486
733,85906
734,89209
735,89426
736,88262
737,88715
738,89064
739,89953
740,89257
741,89958
742,89658
743,90972
744,89930
745,92029
746,90410
747,92313
748,91012
749,90760
750,91053
751,98534
752,97947
753,99216
754,98438
755,98510
756,98167
757,98209
758,92138
759,91263
760,91815
761,90092
762,91912
763,92156
764,93069
765,90706
766,92699
767,93847
768,92104
769,92486
770,92094
771,92957
772,93539
773,93863
774,93036
775,93033
776,92197
777,93131
778,92152
779,93595
780,94049
781,93594
782,91193
783,93756
784,92501
785,92363
786,93415
787,94403
788,93789
789,94491
790,94113
791,94389
792,92570
793,95544
794,95518
795,94491
796,95771
797,94680
798,94815
799,95701
800,95410
801,94851
802,94937
803,98272
804,96481
805,95986
806,104019
807,96928
808,97000
809,95668
810,95346
811,97187
812,96203
813,97412
814,95991
815,99198
816,97925
817,96467
818,98192
819,98185
820,97514
821,98015
822,97467
823,99855
824,98942
825,97657
826,99461
827,98701
828,99086
829,99028
830,98900
831,100817
832,100145
833,100796
834,98290
835,99227
836,100725
837,100388
838,100132
839,100359
840,98400
841,99113
842,101111
843,99567
844,100583
845,100189
846,98927
847,100167
848,101435
849,100919
850,102170
851,100475
852,101670
853,101907
854,101799
855,102904
856,100566
857,102631
858,101355
859,102438
860,101507
861,101618
862,103887
863,102707
864,101778
865,103047
866,103001
867,102462
868,101540
869,102437
870,103893
871,105111
872,103173
873,104276
874,103625
875,105198
876,103983
877,102584
878,103645
879,104940
880,104495
881,102611
882,102927
883,104263
884,106277
885,105079
886,104722
887,105082
888,102728
889,105080
890,105560
891,104677
892,107034
893,105383
894,106280
895,105809
896,106491
897,106055
898,106967
899,107191
900,107781
901,107088
902,107013
903,107346
904,107489
905,106474
906,108280
907,109349
908,106202
909,108489
910,108635
911,107946
912,106749
913,107804
914,108009
915,107846
916,107240
917,108016
918,108754
919,109202
920,107113
921,109298
922,109748
923,108094
924,109332
925,109413
926,109754
927,108258
928,109398
929,108851
930,110346
931,109923
932,109452
933,109811
934,108916
935,111551
936,110320
937,111402
938,109842
939,111074
940,111172
941,110581
942,111711
943,110919
944,111310
945,113372
946,112145
947,111564
948,112997
949,111969
950,112058
951,112727
952,112063
953,111347
954,111562
955,114007
956,112736
957,112785
958,112981
959,113489
960,113820
961,113461
962,112496
963,114036
964,113633
965,113800
966,113173
967,112609
968,112067
969,114278
970,114077
971,113496
972,114232
973,115193
974,115163
975,114002
976,114025
977,113389
978,112775
979,114769
980,113912
981,114416
982,115307
983,115532
984,113417
985,116447
986,115482
987,115524
988,115468
989,116002
990,117199
991,116402
992,115320
993,117484
994,117589
995,115496
996,117135
997,117025
998,117501
999,115994
1000,118131
